artigos|macrotemas|nomes_normas
 Para o desembaraço aduaneiro e inspeção da mercadoria pela Repartição Aduaneira, a empresa interessada deverá apresentar, no local, junto a respectiva Autoridade Sanitária, toda a documentação necessária definida em Instrução Normativa deste Regulamento Técnico. (Revogado pela Resolução - RDC No 62, de 11 de fevereiro de 2016)|temas transversais|Portaria 344_1998
" As importações e exportações das substâncias das listas ""A1"" e ""A2"" (entorpecentes), ""A3"", ""B1"" e ""B2"" (psicotrópicas) e lista ""D1"" (precursoras) deste Regulamento Técnico e de suas atualizações, bem como os medicamentos que as contenham, somente poderão ingressar no país e serem liberadas através dos respectivos Serviços de Vigilância Sanitária do Porto ou Aeroporto Internacional do Rio de Janeiro ou de outros Estados que venham a ser autorizados pelo Ministério da Saúde, em conjunto com outros órgãos envolvidos. (Revogado pela Resolução - RDC No 201, de 18 de julho de 2002)"|temas transversais|Portaria 344_1998
 Os estabelecimentos que necessitem importar substâncias constantes das listas deste Regulamento Técnico e de suas atualizações, para fins de ensino ou pesquisa, análise e padrões de referência utilizados em controle de qualidade, após cumprirem o disposto nos artigos 14, 15 e 16, deverão importar de uma só vez a quantidade autorizada.|temas transversais|Portaria 344_1998
 Os estabelecimentos que necessitem importar substâncias constantes das listas deste Regulamento Técnico e de suas atualizações, para fins de ensino ou pesquisa, análise e padrões de referência utilizados em controle de qualidade, após cumprirem o disposto nos artigos 14, 15 e 16, deverão importar de uma só vez a quantidade autorizada.|temas transversais|Portaria 344_1998
" A compra, venda, transferência ou devolução de substâncias constantes da lista ""C3""( imunossupressoras) deste Regulamento Técnico e de suas atualizações, bem como os medicamentos que as contenham, devem ser acompanhadas de Nota Fiscal ou Nota Fiscal Fatura, visada pela Autoridade Sanitária do local de domicílio do remetente. (Revogado pela Resolução - RDC No 11, de 22 de março de 2011)"|temas transversais|Portaria 344_1998
" A compra, venda, transferência ou devolução das substâncias constantes das listas ""A1"", ""A2"" (entorpecentes), ""A3"", ""B1"" e ""B2"" (psicotrópicas), ""C1"" (outras substâncias sujeitas a controle especial), ""C2"" (retinóicas), ""C4"" (anti-retrovirais) e ""C5"" (anabolizantes) e ""D1"" (precursoras) deste Regulamento Técnico e de suas atualizações, bem como os medicamentos que as contenham, devem estar acompanhadas de Nota Fiscal ou Nota Fiscal Fatura, isentos de visto da Autoridade Sanitária local do domicílio do remetente."|temas transversais|Portaria 344_1998
 A Nota Fiscal ou Nota Fiscal Fatura de venda ou transferência de substâncias constantes das listas deste Regulamento Técnico de suas atualizações, bem como os medicamentos que as contenham, deverá distingui-los, após o nome respectivo, através de colocação entre parênteses, da letra indicativa da lista a que se refere.|temas transversais|Portaria 344_1998
 O estoque de substâncias e medicamentos de que trata este Regulamento Técnico não poderá ser superior as quantidades previstas para atender as necessidades de 6 (seis) meses de consumo.|temas transversais|Portaria 344_1998
" As farmácias e drogarias para dispensar medicamentos de uso sistêmico a base de substâncias constantes da lista ""C2"" (retinóicas), somente poderá ser realizada mediante o credenciamento prévio efetuado pela Autoridade Sanitária Estadual."|temas transversais|Portaria 344_1998
" Fica proibida a manipulação em farmácias das substâncias constantes da lista ""C2"" (retinóicas), na preparação de medicamentos de uso sistêmico, e de medicamentos a base das substâncias constantes da lista ""C3"" (imunossupressoras) deste Regulamento Técnico e de suas atualizações. (Revogado, unicamente no que se refere à substância talidomida, pela Resolução - RDC No 11, de 22 de março de 2011)"|temas transversais|Portaria 344_1998
" A manipulação de substâncias retinóicas (lista ""C2"" deste Regulamento Técnico e de suas atualizações), na preparação de medicamentos de uso tópico, somente, será realizada por farmácias que sejam certificadas em Boas Práticas de Manipulação (BPM)."|temas transversais|Portaria 344_1998
 A transportadora de substâncias constantes das listas deste Regulamento Técnico e de suas atualizações e dos medicamentos que as contenham, deverá estar devidamente legalizada junto aos órgãos competentes.|temas transversais|Portaria 344_1998
 O transporte de substâncias constantes das listas deste Regulamento Técnico e de suas atualizações ou dos medicamentos que as contenham ficará sob a responsabilidade solidária das empresas remetente e transportadora, para todos os efeitos legais.|temas transversais|Portaria 344_1998
 As substâncias constantes das listas deste Regulamento Técnico e de suas atualizações, bem como os medicamentos que as contenham, quando em estoque ou transportadas sem documento hábil, serão apreendidas, incorrendo os portadores e mandatários nas sanções administrativas previstas na legislação sanitária, sem prejuízo das sanções civis e penais.|temas transversais|Portaria 344_1998
 É vedada a dispensação e o comércio e a importação de substâncias constantes das listas deste Regulamento Técnico e de suas atualizações, bem como dos seus respectivos medicamentos, por sistema de reembolso postal e aéreo, e por oferta através de outros meios de comunicação, mesmo com a receita médica.|temas transversais|Portaria 344_1998
 É vedada a dispensação e o comércio e a importação de substâncias constantes das listas deste Regulamento Técnico e de suas atualizações, bem como dos seus respectivos medicamentos, por sistema de reembolso postal e aéreo, e por oferta através de outros meios de comunicação, mesmo com a receita médica.|temas transversais|Portaria 344_1998
 É vedada a compra e venda no mercado interno e externo, de substâncias constantes das listas deste Regulamento Técnico e de suas atualizações, bem como os seus respectivos medicamentos, por sistemas de reembolso, através de qualquer meio de comunicação, incluindo as vias postal e eletrônica. (Redação dada pela Resolução No 41, de 09 de junho de 2008)|temas transversais|Portaria 344_1998
 É vedada a dispensação e o comércio e a importação de substâncias constantes das listas deste Regulamento Técnico e de suas atualizações, bem como dos seus respectivos medicamentos, por sistema de reembolso postal e aéreo, e por oferta através de outros meios de comunicação, mesmo com a receita médica.|temas transversais|Portaria 344_1998
" A Notificação de Receita é o documento que acompanhado de receita autoriza a dispensação de medicamentos a base de substâncias constantes das listas ""A1"" e ""A2"" (entorpecentes), ""A3"", ""B1"" e ""B2"" (psicotrópicas), ""C2"" (retinóicas para uso sistêmico) e ""C3"" (imunossupressoras), deste Regulamento Técnico e de suas atualizações. (Revogado, unicamente no que se refere à substância talidomida pela Resolução-RDC No 11, de 22 de março de 2011)"|temas transversais|Portaria 344_1998
" A Notificação de Receita conforme o anexo IX (modelo de talonário oficial ""A"", para as listas ""A1"", ""A2"" e ""A3""), anexo X (modelo de talonário - ""B"", para as listas ""B1"" e ""B2""), anexo XI (modelo de talonário - ""B"" uso veterinário para as listas ""B1"" e ""B2""), anexo XII (modelo para os retinóides de uso sistêmico, lista ""C2"") e anexo XIII (modelo para a Talidomida, lista ""C3"") deverá conter os itens referentes as alíneas a, b e c devidamente impressos e apresentando as seguintes características: (Revogado, unicamente no que se refere à substância talidomida pela Resolução - RDC No 11, de 22 de março de 2011)"|temas transversais|Portaria 344_1998
" Será suspenso o fornecimento do talonário da Notificação de Receita ""A"" (listas ""A1"" e ""A2"" - entorpecentes e ""A3"" - psicotrópicas) e/ou seqüência numérica da Notificação de Receita ""B"" (listas ""B1"" e ""B2"" -psicotrópicas) e da Notificação de Receita Especial (listas: ""C2"" - retinóicas de uso sistêmico e ""C3"" - imunossupressoras), quando for apurado seu uso indevido pelo profissional ou pela instituição, devendo o fato ser comunicado ao órgão de classe e as demais autoridades competentes. (Revogado, unicamente no que se refere à substância talidomida pela Resolução - RDC No 11, de 22 de março de 2011)"|temas transversais|Portaria 344_1998
 As prescrições por cirurgiões dentistas e médicos veterinários só poderão ser feitas quando para uso odontológico e veterinário, respectivamente.|temas transversais|Portaria 344_1998
 Nos casos de roubo, furto ou extravio de parte ou de todo o talonário da Notificação de Receita, fica obrigado o responsável a informar, imediatamente, à Autoridade Sanitária local, apresentando o respectivo Boletim de Ocorrência Policial (B.O.).|temas transversais|Portaria 344_1998
" A Notificação de Receita ""A"", para a prescrição dos medicamentos e substâncias das listas ""A1"" e ""A2"" (entorpecentes) e ""A3"" (psicotrópicos), de cor amarela, será impressa, as expensas da Autoridade Sanitária Estadual ou do Distrito Federal, conforme modelo anexo IX, contendo 20 (vinte) folhas em cada talonário. Será fornecida gratuitamente pela Autoridade Sanitária competente do Estado, Município ou Distrito Federal, aos profissionais e instituições devidamente cadastrados."|temas transversais|Portaria 344_1998
" A Notificação de Receita ""A"" será válida por 30 (trinta) dias a contar da data de sua emissão em todo o Território Nacional, sendo necessário que seja acompanhada da receita médica com justificativa do uso, quando para aquisição em outra Unidade Federativa."|temas transversais|Portaria 344_1998
" As Notificações de Receitas ""A"" que contiverem medicamentos a base das substâncias constantes das listas ""A1"" e ""A2"" (entorpecentes) e ""A3"" (psicotrópicas) deste Regulamento Técnico e de suas atualizações deverão ser remetidas até o dia 15 (quinze) do mês subseqüente às Autoridades Sanitárias Estaduais ou Municipais e do Distrito Federal, através de relação em duplicata, que será recebida pela Autoridade Sanitária competente mediante recibo, as quais, após conferência, serão devolvidas no prazo de 30 (trinta) dias."|temas transversais|Portaria 344_1998
" A Notificação de Receita ""A"" poderá conter no máximo de 5 (cinco) ampolas e para as demais formas farmacêuticas de apresentação, poderá conter a quantidade correspondente no máximo a 30 (trinta) dias de tratamento."|temas transversais|Portaria 344_1998
 Quando, por qualquer motivo, for interrompida a administração de medicamentos a base de substâncias constantes das listas deste Regulamento Técnico e de suas atualizações, a Autoridade Sanitária local deverá orientar o paciente ou seu responsável, sobre a destinação do medicamento remanescente.|temas transversais|Portaria 344_1998
" A Notificação de Receita ""B"", de cor azul, impressa as expensas do profissional ou da instituição, conforme modelos anexos (X e XI) a este Regulamento Técnico, terá validade por um período de 30 (trinta) dias contados a partir de sua emissão e somente dentro da Unidade Federativa que concedeu a numeração."|temas transversais|Portaria 344_1998
" A Notificação de Receita ""B"" poderá conter no máximo 5 (cinco) ampolas e, para as demais formas farmacêuticas, a quantidade para o tratamento correspondente no máximo a 60 (sessenta) dias."|temas transversais|Portaria 344_1998
 Ficam proibidas a prescrição e o aviamento de fórmulas contendo associação medicamentosa das substâncias anorexígenas constantes das listas deste Regulamento Técnico e de suas atualizações, quando associadas entre si ou com ansiolíticos, diuréticos, hormônios ou extratos hormonais e laxantes, bem como quaisquer outras substâncias com ação medicamentosa.|temas transversais|Portaria 344_1998
 Ficam proibidas a prescrição e o aviamento de fórmulas contendo associação medicamentosa de substâncias ansiolíticas, constantes das listas deste Regulamento Técnico e de suas atualizações, associadas a substâncias simpatolíticas ou parassimpatolíticas.|temas transversais|Portaria 344_1998
" A Notificação de Receita para prescrição do medicamento a base da substância da lista ""C3"" (imunossupressora), de cor branca, será impressa conforme modelo anexo (XIII), as expensas dos serviços públicos de saúde devidamente cadastrados junto ao órgão de Vigilância Sanitária Estadual. (Revogado pela Resolução - RDC No 11, de 22 de março de 2011)"|temas transversais|Portaria 344_1998
" A Notificação de Receita Especial, de cor branca, para prescrição de medicamentos a base de substâncias constantes da lista ""C2"" (retinóides de uso sistêmico) deste Regulamento Técnico e de suas atualizações será impressa às expensas do médico prescritor ou pela instituição a qual esteja filiado, terá validade por um período de 30 (trinta) dias contados a partir de sua emissão e somente dentro da Unidade Federativa que concedeu a numeração."|temas transversais|Portaria 344_1998
" Nos estabelecimentos hospitalares, clínicas médicas e clínicas veterinárias (no que couber), oficiais ou particulares, os medicamentos a base de substâncias constantes das listas ""A1"" e ""A2"" (entorpecentes), ""A3"", ""B1"" e ""B2"" (psicotrópicas), ""C2"" (retinóicas de uso sistêmico), ""C3"" (imunossupressoras), deste Regulamento Técnico e de suas atualizações, poderão ser dispensados ou aviados a pacientes internados ou em regime de semi-internato, mediante receita privativa do estabelecimento, subscrita por profissional em exercício no mesmo. (Revogado, unicamente no que se refere à substância talidomida pela Resolução - RDC No 11, de 22 de março de 2011)"|temas transversais|Portaria 344_1998
" O formulário da Receita de Controle Especial (ANEXO XVII), válido em todo o Território Nacional, deverá ser preenchido em 2 (duas) vias, manuscrito, datilografado ou informatizado, apresentando, obrigatoriamente, em destaque em cada uma das vias os dizeres: ""1a via - Retenção da Farmácia ou Drogaria"" e ""2a via - Orientação ao Paciente""."|temas transversais|Portaria 344_1998
" O aviamento ou dispensação de Receitas de Controle Especial, contendo medicamentos a base de substâncias constantes das listas ""C1"" (outras substâncias sujeitas a controle especial) e ""C5"" (anabolizantes) deste Regulamento Técnico e de suas atualizações, em qualquer forma farmacêutica ou apresentação, é privativo de farmácia ou drogaria e somente poderá ser efetuado mediante receita, sendo a ""1a via - Retida no estabelecimento farmacêutico"" e a ""2a via - Devolvida ao Paciente"", com o carimbo comprovando o atendimento."|temas transversais|Portaria 344_1998
" A prescrição de medicamentos a base de substâncias anti-retrovirais (lista ""C4""), só poderá ser feita por médico e será aviada ou dispensada nas farmácias do Sistema Único de Saúde , em formulário próprio estabelecido pelo programa de DST/AIDS, onde a receita ficará retida. Ao paciente, deverá ser entregue um receituário médico com informações sobre seu tratamento. No caso do medicamento adquirido em farmácias ou drogarias será considerado o previsto no artigo anterior."|temas transversais|Portaria 344_1998
" As receitas que incluam medicamentos a base de substâncias constantes das listas ""C1"" (outras substâncias sujeitas a controle especial) , ""C5"" (anabolizantes) e os adendos das listas ""A1"" (entorpecentes), ""A2"" e ""B1"" (psicotrópicos) deste Regulamento Técnico e de suas atualizações, somente poderão ser aviadas quando prescritas por profissionais devidamente habilitados e com os campos descritos abaixo devidamente preenchidos:"|temas transversais|Portaria 344_1998
" Nos estabelecimentos hospitalares, clínicas médicas e clínicas veterinárias, oficiais ou particulares, os medicamentos a base de substâncias constantes das listas ""C1"" (outras substâncias sujeitas a controle especial) e ""C5"" (anabolizantes) deste Regulamento Técnico e de suas atualizações, poderão ser aviados ou dispensados a pacientes internados ou em regime de semi-internato, mediante receita privativa do estabelecimento, subscrita por profissional em exercício no mesmo."|temas transversais|Portaria 344_1998
" A prescrição poderá conter em cada receita, no máximo 3 (três) substâncias constantes da lista ""C1"" (outras substâncias sujeitas a controle especial) deste Regulamento Técnico e de suas atualizações, ou medicamentos que as contenham."|temas transversais|Portaria 344_1998
" A prescrição de anti-retrovirais poderá conter em cada receita, no máximo 5 (cinco) substâncias constantes da lista ""C4"" (anti-retrovirais) deste Regulamento Técnico e de suas atualizações, ou medicamentos que as contenham."|temas transversais|Portaria 344_1998
" A quantidade prescrita de cada substância constante da lista ""C1"" (outras substâncias sujeitas a controle especial) e ""C5"" (anabolizantes), deste Regulamento Técnico e de suas atualizações, ou medicamentos que as contenham, ficará limitada a 5 (cinco) ampolas e para as demais formas farmacêuticas, a quantidade para o tratamento correspondente a no máximo 60 (sessenta) dias."|temas transversais|Portaria 344_1998
 Acima das quantidades previstas nos artigos 57 e 59, o prescritor deverá apresentar justificativa com o CID ou diagnóstico e posologia, datando e assinando as duas vias.|temas transversais|Portaria 344_1998
" As plantas da lista ""E"" (plantas que podem originar substâncias entorpecentes e/ou psicotrópicas) e as substâncias da lista ""F"" (substâncias de uso proscrito no Brasil), deste Regulamento Técnico e de suas atualizações, não poderão ser objeto de prescrição e manipulação de medicamentos alopáticos e homeopáticos."|temas transversais|Portaria 344_1998
