Assunto/Ementa|Macrotema atual|Tema Biblioteca|Status do Ato|Citadora
Normatiza a composição de produtos para a Terapia de Reidratação Oral (TRO) e determina o conteúdo mínimo de informações que devem ser fornecidas aos profissionais de saúde e ao usuário.|Medicamentos|Registro e pós-registro de medicamentos específicos|Vigente|Portaria 108/1991
"Ratifica os termos das ""Diretrizes e orientações referentes à autorização de registros, renovação de registro e extensão de uso de produtos agrotóxicos e afins - nº 1, de 9 de dezembro de 1991"", publicadas no D.O.U. em 13-12-91"|Agrotóxicos|Critérios e exigências para avaliação e classificação toxicológica de agrotóxicos|Vigente com alterações|Portaria 03/1992
AUTORIZA O USO DO ADITIVO PEROXIDO DE BENZOILA COM FUNÇÃO DE AGENTE BRANQUEADOR DE FARINHA, NO LIMITE MAXIMO DE 40 MG/KG.|Alimentos|Requisitos sanitários para aditivos alimentares e coadjuvantes de tecnologia|Vigente com alterações|Portaria 133/1992
Prorroga a partir de 1º de novembro de 1992 até 31 de outubro de 1995 a vigência da Portaria nº 24 DINAL/MS,de 16 de setembro de 1987, publicada no Diário Oficial da União, Seção I, de 22 de setembro de 1987.|Alimentos||Revogado|Portaria 156/1992
Estabelece a necessidade de agilizar o processo de registro de imunobiológicos|Medicamentos||Revogado|Portaria 109/1993
"Aprova o ""Regulamento Técnico para Inspeção Sanitária de Alimentos"", as ""Diretrizes para o Estabelecimento de Boas Práticas de Produção e de Prestação de Serviços na Área de Alimentos"" e o ""Regulamento Técnico para o Estabelecimento de Padrão de Identidade e Qualidade (PIQ's) para Serviços e Produtos na Área de Alimentos""."|Alimentos|Boas Práticas de Fabricação (BPF) em estabelecimentos produtores/industrializadores de alimentos|Vigente|Portaria 1428/1993
"Determina que o registro dos Produtos Saneantes Domissanitários ""Água Sanitária"" e ""Alvejante"" categoria Congênere a Detergente Alvejante e Desinfetante para uso geral seja procedido de acordo com as normas regulamentares."|Saneantes||Revogado|Portaria 89/1994
Aprova as Normas para Análise de processo de Registro de Imunobiológicos, conforme Manual da Qualidade.|Medicamentos||Revogado|Portaria 107/1994
Aprova as normas que com estas baixam destinadas ao exame e aprovação dos Projetos Físicos de Estabelecimentos Assistenciais de Saúde.|Serviços de Saúde||Revogado|Portaria 1884/1994
Considera como medicamentos de venda, sem exigência de prescrição médica, os produtos abrangidos nos grupos terapêuticos específicados na relação anexa.|Medicamentos||Revogado|Portaria 02/1995
Normatiza o registro de Fitoterápicos.|Medicamentos||Revogado|Portaria 06/1995
"Determina a todos os estabelecimentos produtores de medicamentos, o cumprimento das diretrizes estabelecidas pelo ""GUIA DE BOAS PRÁTICAS DE FABRICAÇÃO PARA INDÚSTRIAS FARMACÊUTICAS""."|Medicamentos||Revogado|Portaria 16/1995
RESOLVE QUE AS PETIÇÕES DE REGISTRO DE PRODUTOS DE HIGIENE PESSOAL, COSMÉTICOS E PERFUMES, CLASSIFICADOS NO GRAU DE RISCO I, DEFINIDO PELA PORTARIA 108/94, DA SECRETARIA DE VIGILÂNCIA SANITÁRIA DO MINISTÉRIO DA SAÚDE, DEVERÃO CONTER, ALÉM DOS DOCUMENTOS EXIGIDOS PELAS NORMAS DESTE MINISTÉRIO, O TERMO DE RESPONSABILIDADE ASSINADO PELO REPRESENTANTE LEGAL E O RESPONSAVEL TÉCNICO, CONFORME ANEXOS.|Cosméticos||Revogado|Portaria 30/1995
Aprova o padrão de identidade e qualidade para Sal Hipossódico.|Alimentos|Requisitos sanitários para alimentos para fins especiais|Vigente com alterações|Portaria 54/1995
Atualiza as Normas e Procedimentos a registros de produtos saneantes, domissanitários e outros de natureza e finalidades idênticas.|Saneantes||Revogado|Portaria 57/1995
Aprova Norma Técnica para Complemento Nutrlcional|Alimentos||Revogado|Portaria 59/1995
Autoriza o uso de Fosfato Trissódico Dodecahidratado com a função de coadjuvante de tecnologia na lavagem de ovos e carcaças de carnes cruas, tais como: bovinas, porcinas e ovinas|Alimentos|Requisitos sanitários para aditivos alimentares e coadjuvantes de tecnologia|Vigente|Portaria 72/1995
Dispõe sobre requerimento de Certidão de Registro/Notificação de Produto.|Temas transversais|Registro e pós-registro de produtos sujeitos à vigilância sanitária|Vigente|Portaria 86/1995
EXTENDE O USO DOS PROPIONATOS DE CALCIO E SODIO EM BISCOITOS COM UNIDADE SUPERIOR A 5% NO LIMITE MAXIMO DE 0,206/100G SOBRE O PESO DO PRODUTO FINAL|Alimentos||Revogado|Portaria 263/1995
Aprova o uso da Goma Konjak com as funções de espessante e estabilizante.|Alimentos|Requisitos sanitários para aditivos alimentares e coadjuvantes de tecnologia|Vigente com alterações|Portaria 13/1996
Aprova o Fascículo 1 da Parte II da 4ª Edição da Farmacopéia Brasileira-Monografias, elaborado pela Comissão Permanente de Revisão da Farmacopéia Brasileira.|Farmacopeia||Revogado|Portaria 175/1996
Aprova a extensão de uso do Aditivo Pirofosfato Dissódico (Pirofosfato ácido de sódio, difosfato dissódico) na função de estabilizante.|Alimentos||Revogado|Portaria 43/1996
Documentação para registro de medicamentos importados.|Medicamentos||Revogado|Portaria 19/1996
APROVA A INCLUSÃO DA PECTINA NA LISTA DE ADITIVOS DA LEGISLAÇÃO BRASILEIRA COM A FUNÇÃO DE ESTABILIZANTE NAS BEBIDAS NÃO ALCOOLICAS (REFRESCOS E REFRIGERANTE) CONTENDO SUCO DE FRUTAS, EM QUANTIDADE SUFICIENTE PARA OBTER O EFEITO DESEJADO|Alimentos|Requisitos sanitários para aditivos alimentares e coadjuvantes de tecnologia|Vigente com alterações|Portaria 97/1996
Aprova o Regulamento Técnico sobre embalagens e equipamentos de vidro e cerâmica em contato com alimentos, e não metálicos.|Alimentos|Materiais em contato com alimentos|Vigente|Portaria 27/1996
Aprova o Regulamento técnico sobre embalagens e equipamentos metálicos em contato com alimentos.|Alimentos||Revogado|Portaria 28/1996
"Aprova o Regulamento Técnico - Critérios Gerais e Classificação de Materiais para Embalagens
e Equipamentos em Contato com Alimentos, conforma Mexo da presente Portaria."|Alimentos||Revogado|Portaria 30/1996
APROVA OS REGULAMENTOS TECNICOS: DISPOSIÇÕES GERAIS PARA EMBALAGENS E EQUIPAMENTOS PLASTICOS EM CONTATO COM ALIMENTOS E SEUS ANEXOS: ANEXO I - LISTA POSITIVA DE POLIMEROS E RESINAS PARA EMBALAGENS E EQUIPAMENTOS PLASTICOS EM CONTATO COM ALIMENTOS; ANEXO II - LISTA POSITIVA DE ADITIVOS PARA MATERIAIS PLASTICOS DESTINADOS A ELABORAÇÃO DE EMBALAGENS E EQUIPAMENTOS EM CONTATO COM ALIMENTOS; ANEXO III, EMBALAGENS E EQUIPAMENTOS PLASTICOS EM CONTATO COM ALIMENTOS: CLASSIFICAÇÃO DOS ALIMENTOS E SIMILARES; ANEXO IV - EMBALAGENS PLASTICAS RETORNAVEIS PARA BEBIDAS NÃO ALCOOLICAS CARBONATADAS; ANEXO V - MIGRAÇÃO TOTAL DE EMBALAGENS E EQUIPAMENTOS PLASTICOS EM CONTATO COM ALIMENTOS; ANEXO IV - MIGRAÇÃO TOTAL DE MATERIAIS PLASTICOS COM AZEITE DE OLIVA COMO SIMULANTE; ANEXO VII - CORANTES E PIGMENTOS EM EMBALAGENS E EQUIPAMENTOS PLASTICOS; ANEXO VIII - DETERMINAÇÃO DE MONOMERO DE CLORETO DE VINILA RESIDUAL; ANEXO IX - DETERMINAÇÃO DE MONOMERO DE ESTIRENO RESIDUAL; ANEXO X - MIGRAÇÃO ESPECIFICA DE MONO E DIETILENOGLICOL E ANEXO XI - MIGRAÇÃO ESPECIFICA DO ACIDO TEREFTALICO.|Alimentos||Revogado|Portaria 26/1996
Permite a terceirização de etapas de produção de medicamentos produzidos no território nacional.|Medicamentos||Revogado|Portaria 59/1996
Prorroga a partir da publicação desta até 31 de dezembro de 1998, a vlgência da Portaria nº 24 DINAL/MS, de 16 de setembro de 1987, publicada no Diário Oficial da União, Seção 1, de 22 de setembro de 1987.|Alimentos||Revogado|Portaria 227/1996
Concede a extensão de uso do aditivo metabissulfito de sódio, com a função de conservador em batata cozida.|Alimentos||Revogado|Portaria 237/1996
Concede a extensão de uso dos aditivos BHT e BHA com a função de antioxidante em produtos desidratados de batata.|Alimentos||Revogado|Portaria 238/1996
Autoriza a utilização de AMILOGLUCOSIDADE e HEMICELULASE como coadjuvante de tecnologia na elaboração de produtos de panificação, bolos e biscoitos.|Alimentos||Revogado|Portaria 241/1996
Aprova a relação de documentos necessários à formação de processos para autorização, alteração e cancelamento de funcionamento de empresa, registro de produto, suas alterações, revalidação, cancelamento e outros procedimentos afins, conforme anexos I, II, III, IV, V, VI, VII, VIII, IX e X, e dá outras providências.|Cosméticos||Revogado|Portaria 71/1996
Dispõe que as escovas dentais estão isentas de registro na Secretaria de Vigilância Sanitária, continuando, porém sujeitas ao regime de Vigilância Sanitária para os demais efeitos da Lei nº 6.360, de 23 de setembro de 1976, e o Decreto Lei nº 79.094, de 05 de janeiro de 1977, e a legislação correlata complementar.|Cosméticos|Escovas Dentais|Revogado|Portaria 97/1996
APROVA A NORMA TECNICA REFERENTE A ERVA-MATE OU MATE.|Alimentos||Revogado|Portaria 363/1996
Estabelece que todo produto farmacêutico, antes de ser entregue ao consumo, deve ser submetido a controle de qualidade adequado.|Medicamentos||Revogado|Portaria 106/1996
APROVA A INCLUSÃO DO XILITOL NA LISTA DE ADITIVOS DA LEGISLAÇÃO BRASILEIRA, COM A FUNÇÃO DE EDULCORANTE EM BALAS, CONFEITOS E GOMAS DE MASCAR, EM QUANTIDADE SUFICIENTE PARA OBTER O EFEITO DESEJADO|Alimentos||Revogado|Portaria 393/1996
EXCLUI INTEGRALMENTE DA PORTARIA 234, DE 21 DE MAIO DE 1996, O ITEM 7.5. SUBSTITUI INTEGRALMENTE O TEXTO DO ITEM 4.3.1. DA PORTARIA 234 E INCLUI O ITEM 5.4.1.3 NA PORTARIA 234 CONFORME TEXTO EM ANEXO.|Alimentos||Revogado|Portaria 422/1996
Aprova as Normas Gerais para Produtos Desinfestantes Domlssanitários|Saneantes||Revogado|Portaria 172/1996
APROVA A NORMA TECNICA REFERENTE A MACARRÃO INSTANTANEO.|Alimentos||Revogado|Portaria 559/1996
Aprovar as Normas Técnicas de Produção e Controle de Qualidade dos Soros Antiofídicos Antitóxicos e Anti-rábico, na conformidade do anexo desta Portaria|Medicamentos|Registro e pós-registro de produtos biológicos|Vigente|Portaria 174/1996
Aprovar as Normas Técnicas de Produção e Controle de Qualidade das Vacinas: Tríplice, Bacterlana, Toxóide Tetanico, Dupla Adulto, Dupla Infantil na confomidade do anexo desta Portaria.|Medicamentos|Registro e pós-registro de produtos biológicos|Revogado|Portaria 175/1996
"Aprovar Normas Técnicas de Fabricação e Controle de Qualidade da Vacina contra a Raiva Uso
Humano (CCL) Fuenzalida Palacios Modificada, na confonnidade do anexo desta Portaria."|Medicamentos|Registro e pós-registro de produtos biológicos|Vigente|Portaria 176/1996
Aprova o uso do Sistema Lactoperoxidase, com a função de coadjuvante de tecnologia, para controle de microorganismos no processo de fabricação de alimentos semi-preparados e de molhos aquosos que tenham pH compreendido entre 3.5 e 8.0, tratados termicamente por processo tecnológico adequado.|Alimentos|Requisitos sanitários para aditivos alimentares e coadjuvantes de tecnologia|Vigente|Portaria 161/1997
O prazo de vigência das Portarias SVS nºs 59/95, 172/96, 190/96, 97/97 e 103/97 suspenso por 90 dias, a contar de 30 de abril de 1997, data da publicação da Portaria n° 166, de 29 de abril de 1997, fica prorrogado até 29 de setembro de 1997.|Temas transversais||Revogado|Portaria 307/1997
Aprova as Normas Gerais para Produtos Desinfestantes Domissanitários, abrangendo os inseticidas e outros produtos desinfestantes domissanitários destinados à venda direta ao consumidor e para aplicação por entidades especializadas.|Saneantes||Revogado|Portaria 321/1997
Aprova as Normas Gerais para Produtos Desinfestantes Domissanitários, abrangendo os inseticidas e outros produtos desinfestantes domissanitários destinados à venda direta ao consumidor e para aplicação por entidades especializadas.|Saneantes|Regularização de produtos para jardinagem amadora|Vigente com alterações|Portaria 322/1997
"Aprova o Regulamento Técnico: ""Condições Higiênicos-Sanitárias e de Boas Práticas de Fabricação para Estabelecimentos Produtores/Industrializadores de Alimentos""."|Alimentos|Boas Práticas de Fabricação (BPF) em estabelecimentos produtores/industrializadores de alimentos|Vigente|Portaria 326/1997
Determina a todos os estabelecimentos produtores de Saneantes Domissanitários, o cumprimento das diretrizes estabelecidas pelos Regulamentos Técnicos - Boas Práticas de Fabricação e Controle.|Saneantes||Revogado|Portaria 327/1997
Regulamenta o registro, a produção, a comercialização, a exposição à venda, a prescrição e a dispensação dos produtos à base de talidomida.|Temas transversais||Revogado|Portaria 354/1997
Determinar a todos os estabelecimentos produtores de Produtos de Higiene Pessoal, Cosméticos e Perfumes, o cumprimento das Diretrizes estabelecidas no Regulamento Técnico - Manual de Boas Práticas de Fabricação e Controle (BPF e C) para Produtos de Higiene Pessoal, Cosméticos e Perfumes, conforme o Anexo 1 da presente Portaria.|Cosméticos||Revogado|Portaria 348/1997
Fica aprovada a Parte 1 da Segunda Edição da Farmacopéia Homeopática Brasileira.|Farmacopeia||Revogado|Portaria 1180/1997
Ações de Boas Práticas de produção de Alimentos e Prestação de Serviços na área de alimentação.|Alimentos||Revogado|Portaria 451/1997
O prazo de vigência das Portarias n°s. 59/95, publicada no DOU de 14/07/1995; 172/96, publicada no DOU de 5/11/1996; 190/96 publicada no DOU de 5/12/1996; 97/97, publicada no DOU de 10/03/1997; 103/97, publicada no DOU de 11/03/1997, suspenso por 90 dias, a contar de 30/04/1997, data da publicação da Portaria n° 166, de 29/04/1997, prorrogado até o dia 29/09/1997, pela Portaria n° 307, de 21/07/1997, fica prorrogado por 60 dias, a fim de atender aos procedimentos de consulta pública promovida por este Ministério.|Temas transversais||Revogado|Portaria 462/1997
Aprova o Regulamento Técnico de Soluções Parenterais de Grande Volume - SPGV.|Medicamentos||Revogado|Portaria 500/1997
Aprova o Regulamento Técnico: Aditivos Alimentares - definições, classificação e emprego.|Alimentos|Requisitos sanitários para aditivos alimentares e coadjuvantes de tecnologia|Vigente com alterações|Portaria 540/1997
Aprova a extensão de uso dos aditivos abaixo, com suas respectivas funções, em prepararações para infusões ou decocções(chás), obedecidos os devidos limites.|Alimentos|Requisitos sanitários para aditivos alimentares e coadjuvantes de tecnologia|Vigente|Portaria 554/1997
Prorroga o prazo de vigência das Portarias SVS/MS 166/95, 97/97 e 103/97 até 30 de janeiro de 1998, a fim de atender aos procedimentos de consulta pública promovida por este Ministério.|Temas transversais||Revogado|Portaria 643/1997
Dispõe sobre o Regulamento Técnico sobre Informação Nutricional Complementar.|Alimentos||Revogado|Portaria 27/1998
Aprova o uso de aditivos para alimentos com Informação Nutricional Complementar e Alimentos para Fins Especiais.|Alimentos|Requisitos sanitários para aditivos alimentares e coadjuvantes de tecnologia|Vigente|Portaria 28/1998
Aprova o regulamento técnico referente a Alimentos para Fins Especiais.|Alimentos|Requisitos sanitários para alimentos para fins especiais|Vigente com alterações|Portaria 29/1998
Aprova o Regulamento Técnico referente a Alimentos para Controle de Peso, constante do anexo desta Portaria.|Alimentos|Requisitos sanitários para alimentos para fins especiais|Vigente|Portaria 30/1998
APROVA O REGULAMENTO TÉCNICO PARA SUPLEMENTOS VITAMÍNICOS E OU DE MINERAIS, CONSTANTES DO ANEXO DESTA PORTARIA.|Alimentos|Requisitos sanitários para suplementos alimentares|Revogado|Portaria 32/1998
ADOTA OS VALORES CONSTANTES DAS SEGUINTES TABELAS DO ANEXO DESTA PORTARIA, COMO NÍVEIS DE IDR PARA AS VITAMINAS, MINERAIS E PROTEÍNAS.|Alimentos||Revogado|Portaria 33/1998
Aprova o Regulamento Técnico referente a Alimentos de Transição para Lactentes e Crianças de Primeira Infância.|Alimentos|Requisitos sanitários para alimentos para fins especiais|Vigente com alterações|Portaria 34/1998
Aprovar para Alimentos de Transição para Lactentes e Crianças de Primeira Infância (Sopinha, Papinha, Purê e Suquinho) a extensão de uso dos aditivos intencionais constantes do anexo desta Portaria.|Alimentos|Requisitos sanitários para aditivos alimentares e coadjuvantes de tecnologia|Vigente|Portaria 35/1998
Aprova o Regulamento Técnico referente a Alimentos à Base de Cereais para Alimentação Infantil.|Alimentos|Requisitos sanitários para alimentos para fins especiais|Vigente com alterações|Portaria 36/1998
Aprova para Alimentos à Base de Cereais para Alimentação Infantil a extensão de uso dos aditivos intencionais e coadjuvantes de tecnologia.|Alimentos||Revogado|Portaria 37/1998
Aprova o Regulamento Técnico referente a Adoçantes de Mesa.|Alimentos||Revogado|Portaria 38/1998
Aprova para Adoçantes de Mesa a extensão de uso dos aditivos intencionais e coadjuvantes de tecnologia.|Alimentos|Requisitos sanitários para aditivos alimentares e coadjuvantes de tecnologia|Vigente com alterações|Portaria 39/1998
DEFINE, SEM PREJUÍZO DO DISPOSTO NA LEI Nº. 6.360, DE 23 DE SETEMBRO DE 1976 E NO SEU REGULAMENTO, O DECRETO Nº. 79.094, DE 5 DE JANEIRO DE 1977, COMO “MEDICAMENTOS À BASE DE VITAMINA ISOLADA, VITAMINAS ASSOCIADAS ENTRE SI, MINERAIS ISOLADOS, MINERAIS ASSOCIADOS ENTRE SI E DE ASSOCIAÇÕES DE VITAMINAS COM MINERAIS”, AQUELES CUJOS ESQUEMAS POSOLÓGICOS DIÁRIOS SITUAM-SE ACIMA DOS 100% DA INGESTÃO DIÁRIA RECOMENDADA – IDR|Temas transversais|Dúvida de classificação|Revogado|Portaria 40/1998
Aprova o Regulamento Técnico para ROTULAGEM NUTRICIONAL DE ALIMENTOS EMBALADOS.|Alimentos||Revogado|Portaria 41/1998
Aprova o Regulamento Técnico para ROTULAGEM DE ALIMENTOS EMBALADOS. Refere-se as Res. GMC nº 36/93, 06/94 e 21/94|Alimentos||Revogado|Portaria 42/1998
Aprova o Regulamento Técnico referente a Alimentos adicionados de Nutrientes Essenciais|Alimentos|Fortificação de alimentos|Vigente|Portaria 31/1998
Prorroga o prazo de vigência das Portarias SVS/MS nº 166/97, nº 97/97 e nº 103/97 até 31 de março de 1998, a fim de atender aos procedimentos de consulta pública promovida por este Ministério.|Temas transversais||Revogado|Portaria 114/1998
Prorroga por mais 20 dias, o prazo de consulta pública para a Portaria nº 53, de 15/01/1998, publicada no DOU de 19 subseqüente, expirando desta forma em 18/02/1998, cujo teor trata de Proposta de Regulamento Técnico Sanitário de Procedimentos de Controle de Produtos Importados, submetidos ao regime de vigilância sanitána, nos terminais alfandegários.|Temas transversais||Revogado|Portaria 152/1998
APROVA O REGULAMENTO TÉCNICO REFERENTE A ALIMENTOS PARA PRATICANTES DE ATIVIDADE FÍSICA, CONSTANTE DO ANEXO DESTA PORTARIA.|Alimentos|Requisitos sanitários para alimentos para fins especiais|Revogado|Portaria 222/1998
APROVA O REGULAMENTO TÉCNICO PARA FIXAÇÃO DE IDENTIDADE E QUALIDADE PARA COMPOSTO DE ERVA-MATE CONSTANTE DO ANEXO DESTA PORTARIA|Alimentos||Revogado|Portaria 233/1998
Aprova o Regulamento Técnico para Fixação de Identidade e Qualidade para Erva-Mate.|Alimentos||Revogado|Portaria 234/1998
Aprova o Regulamento Técnico para fixar os requisitos mínimos exigidos para a Terapia de Nutrição Parenteral.|Serviços de Saúde|Requisitos Sanitários para utilização de soluções parenterais e prestação de serviços de nutrição parenteral|Vigente|Portaria 272/1998
Estabelece Critérios para Inclusão, Exclusão e Alteração de Concentração de Substâncias utilizadas em Produtos de Higiene Pessoal, Cosméticos e Perfumes.|Cosméticos|Regularização de Substâncias em Produtos de Higiene Pessoal, Cosméticos e Perfumes|Vigente|Portaria 295/1998
Estabelece que, para efeito de Registro ou de Alteração de Registro de Produtos de Higiene Pessoal, Cosméticos e Perfumes, no âmbito do Mercosul, deve ser adotada, em caráter complementar à nomenclatura original das substâncias da formulação, outras nomenclaturas.|Cosméticos|Regularização de Substâncias em Produtos de Higiene Pessoal, Cosméticos e Perfumes|Vigente|Portaria 296/1998
Aprova o Regulamento Técnico sobre substâncias e medicamentos sujeitos a controle especial.|Temas transversais|Controle e fiscalização nacionais de substâncias sob controle especial e plantas que podem originá-las|Vigente com alterações|Portaria 344/1998
Estabelece o Método para Determinação da Biodegrabilidade de Tensoativos Aniônicos com validade em todo o Território Nacional.|Saneantes||Revogado|Portaria 393/1998
Aprova o Regulamento Técnico que estabelece as diretrizes básicas de proteção radiológica em radiodiagnóstico médico e odontológico, dispõe sobre o uso dos raios-x diagnósticos em todo território nacional e dá outras providências.|Serviços de Saúde|Requisitos sanitários para prestação de serviços de radiodiagnóstico|Vigente|Portaria 453/1998
Aprova a inclusão da goma gelana (INS 418) na lista de aditivos da Legislação Brasileira com as funções de estabilizante, espessante e gelificante.|Alimentos|Requisitos sanitários para aditivos alimentares e coadjuvantes de tecnologia|Vigente com alterações|Portaria 503/1998
Aprova o Regulamento Técnico para Fixação de Identidade e Qualidade de Chás - Plantas Destinadas à Preparação de Infusões ou Decocções.|Alimentos||Revogado|Portaria 519/1998
APROVA O REGULAMENTO TECNICO: 'PRINCIPIOS GERAIS PARA O ESTABELECIMENTO DE NIVEIS MAXIMOS DE CONTAMINANTES QUIMICOS EM ALIMENTOS' E SEU ANEXO; 'LIMITES MAXIMOS DE TOLERANCIA PARA CONTAMINANTES INORGANICOS'.|Alimentos|Contaminantes em alimentos|Vigente com alterações|Portaria 685/1998
Estabelece que os alimentos por serem considerados como naturais, podem ser comercializados em todo o território nacional pelas empresas responsáveis, produtoras e importadoras, mediante prévia protocolização.|Alimentos|Procedimentos para regularização de alimentos e embalagens|Caduco|Portaria 741/1998
APROVA OS PROCEDIMENTOS A SEREM ADOTADOS NAS IMPORTAÇÕES DOS PRODUTOS E MATÉRIAS PRIMAS SUJEITOS A CONTROLE SANITÁRIO PREVISTOS NO ANEXO I DESTA PORTARIA|Portos, Aeroportos e Fronteiras||Revogado|Portaria 772/1998
Autorizar, em caráter excepcional, a importação dos produtos constantes da relação anexa, unicamente para uso hospitalar, cuja importação esteja vinculada a uma determinada entidade hospitalar para seu uso exclusivo, não se destinando à revenda ou ao comércio.|Medicamentos|Importação excepcional de medicamentos|Vigente|Portaria 783/1998
Autorizar, em caráter excepcional, a importação dos produtos constantes da relação anexa nesta portaria.|Medicamentos||Revogado|Portaria 785/1998
Institui o Sistema de Controle e Fiscalização em toda a cadeia dos produtos farmacêuticos; a cadeia dos produtos farmacêuticos abrange as etapas da produção, distribuição, transporte e dispensação.|Medicamentos|Controle e fiscalização da cadeia de distribuição de medicamentos|Vigente com alterações|Portaria 802/1998
PRORROGA POR 30 (TRINTA) DIAS, A PARTIR DE 17 DE OUTUBRO DE 1998, O PRAZO DE VIGENCIA DA PORTARIA 741 - SVS, DE 16/09/98, REFERENTE A COMERCIALIZAÇÃO DE ALIMENTOS CONSIDERADOS COMO 'NATURAIS'.|Alimentos|Guilhotina|Caduco|Portaria 818/1998
Autoriza a inclusão da substância P-DICLOROBENZENO no Subanexo 1 - alínea I, como princípio ativo para uso de formulações desodorizantes.|Saneantes||Revogado|Portaria 843/1998
A SECRETARIA DE POLÍTICAS DE SAÚDE, ESTABELECE AS ESPECIFICAÇÕES DOS MEDICAMENTOS HEMODERIVADOS DE USO HUMANO E ESTABELECER NORMAS QUE VIABILIZEM A AQUISIÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS HEMODERIVADOS DE USO HUMANO.|Portos, Aeroportos e Fronteiras||Revogado|Portaria 02/1998
FIXA REQUISITOS MINIMOS DE CARACTERISTICAS E QUALIDADE PARA O COMPOSTO LIQUIDO PRONTO PARA CONSUMO, DEFINIDOS NESTE REGULAMENTO TECNICO, CONSTANTE DO ANEXO DESTA PORTARIA.|Alimentos||Revogado|Portaria 868/1998
